SampleName,site,In,Out,middate,dxs,dD,unc,dO,unc,amount [mL],SOI in (monthly),SOI out (monthly),SOI middate (monthly),SOI average (monthly),PNA in (daily),PNA out (daily),PNA middate (daily),PNA average (daily),AO in (daily),AO out (daily),AO middate (daily),AO average (daily)
TJ6996SW,CA99,40925,40932,40928.5,14.67858153,-71.27066327,1.079047728,-10.7436556,0.411222567,12696.3,0.9,0.9,0.9,0.9,-0.605,-0.314,-0.339,-0.419333333,0.184,-1.775,0.261,-0.443333333
TJ7513SW,CA99,40946,40953,40949.5,12.66762627,-99.64887373,1.20216513,-14.0395625,0.27684111,1803.2,0.22,0.22,0.22,0.22,0.947,0.896,1.577,1.14,-2.086,0.31,-0.933,-0.903
TJ7779SW,CA99,40953,40960,40956.5,15.43351033,-84.81236113,1.099087804,-12.53073393,0.289423565,618.9,0.22,0.22,0.22,0.22,0.896,0.459,0.674,0.676333333,0.31,1.528,0.822,0.886666667
TJ8266SW,CA99,40967,40974,40970.5,16.36505467,-67.05889813,0.949164896,-10.4279941,0.313249102,1716.1,0.22,0.2,0.2,0.206666667,-0.646,-1.194,-0.667,-0.835666667,1.91,3.045,1.146,2.033666667
TJ8786SW,CA99,40981,40988,40984.5,14.9318526,-98.90516713,1.260191652,-14.22962747,0.393765158,7629.3,0.2,0.2,0.2,0.2,0.357,0.75,0.728,0.611666667,0.076,2.085,2.229,1.463333333
TJ9013SW,CA99,40988,40995,40991.5,15.4293992,-81.5188952,1.248485883,-12.1185368,0.293156955,1786.8,0.2,0.2,0.2,0.2,0.75,0.713,0.137,0.533333333,2.085,-0.323,-1.528,0.078
TJ9230SW,CA99,40995,41002,40998.5,15.51185487,-60.91343153,1.498337078,-9.5531608,0.275699111,2616,0.2,-0.65,0.2,-0.083333333,0.713,0.774,0.96,0.815666667,-0.323,-0.207,-0.234,-0.254666667
TJ9704SW,CA99,41009,41016,41012.5,14.3103782,-94.8795698,1.166628476,-13.6487435,0.307455688,5020.4,-0.65,-0.65,-0.65,-0.65,0.58,-0.368,0.149,0.120333333,0.015,1.055,-0.572,0.166
TK0333SW,CA99,41023,41030,41026.5,10.42236313,-93.3535726,1.309220379,-12.97199197,0.179947214,2980.8,-0.65,-0.38,-0.65,-0.56,0.165,-1.548,-0.337,-0.573333333,-1.325,0.741,-0.679,-0.421
TK1631SW,CA99,41058.30208,41065.33333,41061.81771,16.3081502,-73.5773434,0.901419436,-11.2356867,0.240574313,1566.4,-0.38,-1.51,-1.51,-1.133333333,0.395,0.417,-0.149,0.221,-0.181,-1.911,-0.407,-0.833
TK4435SW,CA99,41135.29167,41142.3125,41138.80208,-12.98039307,12.50388213,0.780403101,3.1855344,0.273003663,172.2,-0.74,-0.74,-0.74,-0.74,0.64,0.963,-0.093,0.503333333,-1.13,0.469,-1.527,-0.729333333
TK6665SW,CA99,41198.3125,41205.3125,41201.8125,19.03989533,-49.33919613,1.055094309,-8.547386433,0.265077347,2080.6,0.17,0.17,0.17,0.17,0.285,-1.185,-0.507,-0.469,-1.281,-2.978,-0.595,-1.618
TK7536SW,CA99,41226.33333,41233.36458,41229.84896,16.32903827,-72.1642044,0.781193958,-11.06165533,0.204514058,6929.2,0.33,0.33,0.33,0.33,-0.753,-0.385,-0.759,-0.632333333,1.35,-0.241,1.042,0.717
TK8899SW,CA99,41254.3125,41261.30208,41257.80729,16.60874387,-70.6980124,1.226121527,-10.91334453,0.302297866,6714.6,-0.77,-0.77,-0.77,-0.77,-0.88,-1.069,-0.614,-0.854333333,-2.3,-1.716,-1.162,-1.726
TK8976SW,CA99,41261.3125,41267.71875,41264.51563,21.03254133,-87.449256,1.014255392,-13.56022467,0.312208264,8902.8,-0.77,-0.77,-0.77,-0.77,-1.069,-0.073,-0.846,-0.662666667,-1.716,-1.724,-3.371,-2.270333333
TK9798SW,CA99,41282.59375,41289.54167,41286.06771,20.88135567,-56.02226647,1.039545093,-9.612952767,0.303074248,521.9,-0.1,-0.1,-0.1,-0.1,0.284,0.019,-0.62,-0.105666667,0.657,-0.536,-1.867,-0.582
TL0353SW,CA99,41296.3125,41303.3125,41299.8125,9.668074733,-101.1198887,0.780270466,-13.84849543,0.275334342,1152.5,-0.1,-0.1,-0.1,-0.1,0.566,0.031,-0.119,0.159333333,-2.744,0.133,-0.226,-0.945666667
TL0909SW,CA99,41310.30208,41317.3125,41313.80729,18.95937107,-63.31817933,1.347024127,-10.2846938,0.234173013,698.5,-0.47,-0.47,-0.47,-0.47,0.512,0.353,0.364,0.409666667,-0.421,-1.087,-0.712,-0.74
TL1410SW,CA99,41324.3125,41331.3125,41327.8125,16.04353733,-107.0769368,0.982987284,-15.39005927,0.264941503,581.3,-0.47,-0.47,-0.47,-0.47,0.06,0.932,0.18,0.390666667,-2.62,-2.445,-2.046,-2.370333333
TL1676SW,CA99,41331.3125,41338.3125,41334.8125,9.1573542,-89.6668714,1.114980269,-12.3530282,0.254878402,982.2,-0.47,1.06,1.06,0.55,0.932,0.291,1.398,0.873666667,-2.445,-3.802,-1.724,-2.657
TL1968SW,CA99,41338.3125,41345.29167,41341.80208,17.60945147,-78.24054133,0.782287032,-11.9812491,0.205691517,2475.2,1.06,1.06,1.06,1.06,0.291,-0.63,0.556,0.072333333,-3.802,-1.634,-3.3,-2.912
TL2439SW,CA99,41345.29167,41352.29167,41348.79167,13.16243587,-97.529326,1.065428083,-13.83647023,0.301041525,2952.8,1.06,1.06,1.06,1.06,-0.63,-1.135,-0.011,-0.592,-1.634,-5.193,-1.434,-2.753666667
TL2513SW,CA99,41352.29167,41359.30208,41355.79688,4.000835533,-80.41185593,0.85140942,-10.55158643,0.20247222,495.2,1.06,1.06,1.06,1.06,-1.135,0.395,0.029,-0.237,-5.193,-4.021,-5.24,-4.818
TL2797SW,CA99,41359.30208,41366.30208,41362.80208,13.5239682,-109.4495313,1.021405404,-15.37168743,0.309310524,2938.7,1.06,0.01,1.06,0.71,0.395,-0.246,0.027,0.058666667,-4.021,-2.445,-1.821,-2.762333333
TL3052SW,CA99,41366.30208,41373.35417,41369.82813,9.2927158,-62.31981833,4.48235,-8.951566767,3.083348,1463.5,0.01,0.01,0.01,0.01,-0.246,0.291,-0.305,-0.086666667,-2.445,-0.324,-3.257,-2.008666667
TL4093SW,CA99,41395,41401.3125,41398.15625,10.870036,-23.32007573,0.816862902,-4.273763967,0.27283878,461.2,0.9,0.9,0.9,0.9,-0.29,0.678,1.339,0.575666667,-0.581,1.197,1.385,0.667
TL6025SW,CA99,41443.29167,41450.6875,41446.98958,2.014615,-69.67007033,0.93675397,-8.960585667,0.226656127,607.1,1.45,1.45,1.45,1.45,0.345,0.613,0.85,0.602666667,1.154,-0.131,0.051,0.358
TM1206SW,CA99,41569.35417,41576.34375,41572.84896,16.80663493,-65.97597387,0.957320218,-10.3478261,0.212120249,1829.5,-0.34,-0.34,-0.34,-0.34,0.482,0.18,0.424,0.362,-0.161,2.274,0.93,1.014333333
TM1656SW,CA99,41597.38542,41604.42708,41600.90625,18.3885376,-124.0230296,1.04734426,-17.8014459,0.287069678,2650.8,0.75,0.75,0.75,0.75,-0.966,-0.113,-0.152,-0.410333333,1.101,1.602,-1.167,0.512
TM2101SW,CA99,41604.42708,41611.38542,41607.90625,15.08398853,-93.42720373,1.167291309,-13.56389903,0.220308874,659,0.75,-0.05,0.75,0.483333333,-0.113,-0.285,-0.558,-0.318666667,1.602,1.632,2.31,1.848
TM2394SW,CA99,41611.38542,41618.29514,41614.84028,26.896565,-84.61558273,1.214906169,-13.93901847,0.18230469,1151.2,-0.05,-0.05,-0.05,-0.05,-0.285,-1.018,-0.902,-0.735,1.632,0.378,-0.137,0.624333333
TM4423SW,CA99,41667.32292,41674.3125,41670.81771,19.1403762,-86.88560807,1.226189626,-13.25324803,0.208846834,4141.8,1.19,-0.32,1.19,0.686666667,0.323,-1.06,-0.617,-0.451333333,-2.408,-0.148,0.341,-0.738333333
TM4603SW,CA99,41674.3125,41681.29167,41677.80208,17.510717,-84.97184167,1.250993605,-12.81031983,0.239355384,4234,-0.32,-0.32,-0.32,-0.32,-1.06,-0.786,-0.724,-0.856666667,-0.148,1.283,0.542,0.559
TM4884SW,CA99,41681.29167,41688.48958,41684.89063,17.3907214,-55.747677,0.644063661,-9.1422998,0.252754822,315.6,-0.32,-0.32,-0.32,-0.32,-0.786,-0.098,-0.794,-0.559333333,1.283,-0.264,-0.924,0.031666667
TM5374SW,CA99,41695.29514,41702.30208,41698.79861,21.04743413,-86.079524,0.817105256,-13.39086977,0.195920902,8826.9,-0.32,-1.7,-0.32,-0.78,0.507,-0.209,-0.396,-0.032666667,-0.784,-0.028,-1.746,-0.852666667
TM5683SW,CA99,41702.30208,41709.3125,41705.80729,17.20453017,-70.96634877,1.002786617,-11.02135987,0.19222903,1042.7,-1.7,-1.7,-1.7,-1.7,-0.209,0.486,0.722,0.333,-0.028,0.951,1.602,0.841666667
TM6529SW,CA99,41723.41667,41730.61458,41727.01563,23.34010883,-77.7221557,1.161148139,-12.63278307,0.232839,5389.5,-1.7,0.81,-1.7,-0.863333333,-0.408,-0.594,-0.822,-0.608,1.025,-0.707,-0.339,-0.007
TM6747SW,CA99,41730.61458,41737.34375,41733.97917,28.4379417,-103.852454,1.414788677,-16.53629947,0.280788176,1041,0.81,0.81,0.81,0.81,-0.594,0.416,-0.091,-0.089666667,-0.707,1.241,0.771,0.435
TM7574SW,CA99,41751.42708,41758.70833,41755.06771,20.1472663,-118.379075,0.910440004,-17.31579267,0.301227489,3658.2,0.81,0.81,0.81,0.81,0.788,1.071,0.314,0.724333333,0.264,-1.369,-1.132,-0.745666667
TM8347SW,CA99,41772.30208,41779.30208,41775.80208,21.7825642,-75.88878727,1.220987305,-12.20891893,0.28472794,782.6,0.72,0.72,0.72,0.72,-0.02,0.106,1.009,0.365,0.82,-0.165,2.002,0.885666667
TM8607SW,CA99,41779.30208,41786.30208,41782.80208,18.55365647,-66.8474838,1.26095559,-10.67514253,0.285378696,606.3,0.72,0.72,0.72,0.72,0.106,-1.344,-1.121,-0.786333333,-0.165,-0.91,0.115,-0.32
TN0762SW,CA99,41835.30208,41842.30208,41838.80208,8.923157033,-45.03741577,1.264805123,-6.7450716,0.295717771,645.3,-0.26,-0.26,-0.26,-0.26,-0.099,-1.083,0.169,-0.337666667,0.045,-0.012,-0.356,-0.107666667
TN3375SW,CA99,41905.625,41912.47917,41909.05208,#N/A,#N/A,4.48235,#N/A,3.083348,1929.3,-0.66,-0.66,-0.66,-0.66,0.394,-0.532,1.559,0.473666667,0.475,1.418,1.758,1.217
TN4440SW,CA99,41933.3125,41940.3125,41936.8125,25.0999609,-43.08039643,1.089855954,-8.522544667,0.309053393,371.8,-0.86,-0.86,-0.86,-0.86,0.953,0.027,0.179,0.386333333,-0.3,0.202,0.182,0.028
TN4773SW,CA99,41940.3125,41947.30208,41943.80729,14.08846783,-107.6936375,1.368395045,-15.22276317,0.226649509,2375.4,-0.86,-0.96,-0.86,-0.893333333,0.027,0.106,0.531,0.221333333,0.202,1.015,-0.399,0.272666667
TN5272SW,CA99,41955.29167,41961.3125,41958.30208,7.110374033,-41.5243233,0.996151595,-6.079337167,0.262528094,727.6,-0.96,-0.96,-0.96,-0.96,0.72,0.917,0.561,0.732666667,-2.61,-1.649,-1.595,-1.951333333
TN5403SW,CA99,41961.3125,41968.34375,41964.82813,8.770606733,-62.1489426,1.024331977,-8.864943667,0.224401426,1437,-0.96,-0.96,-0.96,-0.96,0.917,-0.278,0.79,0.476333333,-1.649,1.012,-0.952,-0.529666667
TN5727SW,CA99,41968.34375,41975.3125,41971.82813,7.574582167,-35.5615325,1.217742584,-5.392014333,0.283022967,795.6,-0.96,-0.66,-0.96,-0.86,-0.278,-0.772,-0.603,-0.551,1.012,0.266,-1.298,-0.006666667
TN6026SW,CA99,41975.3125,41982.29167,41978.80208,10.87501017,-73.5124685,0.859623755,-10.54843483,0.232869062,4415.6,-0.66,-0.66,-0.66,-0.66,-0.772,1.309,0.156,0.231,0.266,0.224,-0.683,-0.064333333
TN6343SW,CA99,41982.29167,41989.41667,41985.85417,9.688699767,-112.4478949,1.225822581,-15.26707433,0.198042925,5655.7,-0.66,-0.66,-0.66,-0.66,1.309,0.865,0.375,0.849666667,0.224,1.33,0.486,0.68
TN6466SW,CA99,41989.41667,41996.35417,41992.88542,10.0138499,-100.2833341,0.766876131,-13.787148,0.184027172,977.6,-0.66,-0.66,-0.66,-0.66,0.865,0.435,0.911,0.737,1.33,0.565,0.685,0.86
TN6679SW,CA99,41996.35417,42003.375,41999.86458,11.52676377,-60.4829069,1.266080961,-9.001208833,0.274679814,769.9,-0.66,-0.66,-0.66,-0.66,0.435,0.569,-0.026,0.326,0.565,1.15,-0.537,0.392666667
TN8470SW,CA99,42038,42045,42041.5,13.29932523,-29.3623601,0.949541468,-5.332710667,0.224118272,6947.3,-0.04,-0.04,-0.04,-0.04,0.171,0.577,0.304,0.350666667,-0.796,1.441,-0.762,-0.039
TN9372SW,CA99,42059,42066,42062.5,8.660127067,-79.9652316,1.145784011,-11.07816983,0.195573516,#N/A,-0.04,-1.4,-0.04,-0.493333333,-0.119,-1.964,-0.722,-0.935,1.714,2.176,2.763,2.217666667
TN9988SW,CA99,42080,42087,42083.5,14.03159153,-38.1133498,1.640081705,-6.518117667,0.246150361,484,-1.4,-1.4,-1.4,-1.4,0.471,0.342,0.214,0.342333333,-1.23,1.435,-0.875,-0.223333333
TJ3923SW,OR09,40847,40854,40850.5,20.29192733,-83.60693267,1.518001976,-12.9873575,0.316155025,381.2,0.91,1.41,1.41,1.243333333,-0.458,-0.446,-0.955,-0.619666667,1.469,1.882,0.264,1.205
TJ5944SW,OR09,40904.58333,40911.41667,40908,5.685686333,-90.29257527,1.180521071,-11.9972827,0.34725351,427.4,2.45,0.9,2.45,1.933333333,0.771,0.829,0.387,0.662333333,2.614,0.959,2.865,2.146
TJ7389SW,OR09,40945,40952,40948.5,15.7588598,-83.2657858,0.691877157,-12.3780807,0.442381057,677.7,0.22,0.22,0.22,0.22,1.187,1.045,1.425,1.219,-1.974,0.14,-1.488,-1.107333333
TJ9309SW,OR09,40995,41001,40998,10.82314793,-114.2828203,1.311817442,-15.63824603,0.350077134,1885,0.2,-0.65,0.2,-0.083333333,0.713,0.593,0.96,0.755333333,-0.323,0.029,-0.234,-0.176
TJ9428SW,OR09,41001,41009,41005,17.00042107,-109.5913275,0.929798365,-15.82396857,0.404288263,316.7,-0.65,-0.65,-0.65,-0.65,0.593,0.58,0.438,0.537,0.029,0.015,0.59,0.211333333
TJ9755SW,OR09,41008,41015,41011.5,9.301480067,-139.2910399,1.130005752,-18.574065,0.272055141,267.5,-0.65,-0.65,-0.65,-0.65,0.525,-0.41,0.355,0.156666667,0.679,0.435,-0.39,0.241333333
TK1275SW,OR09,41050.36458,41058.38542,41054.375,11.62731467,-148.8273971,1.130195558,-20.05683897,0.197172513,650.6,-0.38,-0.38,-0.38,-0.38,-0.296,0.395,0.059,0.052666667,-0.097,-0.181,0.968,0.23
TK1628SW,OR09,41058.38542,41065.40625,41061.89583,12.10025567,-75.02745873,0.777964652,-10.8909643,0.125690095,1132.9,-0.38,-1.51,-1.51,-1.133333333,0.395,0.417,-0.149,0.221,-0.181,-1.911,-0.407,-0.833
TK2306SW,OR09,41079.33333,41086.375,41082.85417,11.7304854,-120.4890567,0.846577817,-16.52744277,0.26050144,326.3,-1.51,-1.51,-1.51,-1.51,-1.282,0.267,-1.437,-0.817333333,0.886,-0.312,-0.109,0.155
TK2592SW,OR09,41086.375,41093.33333,41089.85417,-9.011240533,-77.08302133,1.163794226,-8.5089726,0.209897594,225.7,-1.51,-0.15,-1.51,-1.056666667,0.267,-0.269,0.467,0.155,-0.312,-0.896,-0.265,-0.491
TK6378SW,OR09,41191.37361,41198.38542,41194.87951,4.346077267,-87.0412302,1.205061409,-11.42341343,0.266853893,485.4,0.17,0.17,0.17,0.17,-1.745,0.285,0.366,-0.364666667,-0.677,-1.281,-2.202,-1.386666667
TK7527SW,OR09,41228.41667,41234.33333,41231.375,15.47590573,-70.46265,1.060627173,-10.74231947,0.20931794,763,0.33,0.33,0.33,0.33,-0.742,-0.535,-0.601,-0.626,1.872,-0.447,0.755,0.726666667
TK8831SW,OR09,41253.44792,41261.57292,41257.51042,11.70514593,-82.0658234,0.946634565,-11.72137117,0.235569523,605.1,-0.77,-0.77,-0.77,-0.77,-0.78,-1.069,-0.614,-0.821,-2.965,-1.716,-1.162,-1.947666667
TL1939SW,OR09,41277.34375,41345.34375,41311.34375,6.790185733,-97.07660707,0.988723419,-12.9833491,0.257101147,551.7,-0.1,1.06,-0.47,0.163333333,1.361,-0.63,0.51,0.413666667,0.206,-1.634,-0.93,-0.786
TL4947SW,OR09,41408.32292,41415.70833,41412.01563,-3.518612267,-80.13630187,1.006127725,-9.5772112,0.304514367,174.6,0.9,0.9,0.9,0.9,-0.495,-0.892,-0.914,-0.767,0.173,0.022,-0.349,-0.051333333
TL4905SW,OR09,41415.70833,41423.77083,41419.73958,-5.472597333,-75.51651093,1.196431778,-8.7554892,0.197246039,287.14,0.9,0.9,0.9,0.9,-0.892,-1.424,-0.444,-0.92,0.022,0.21,0.709,0.313666667
TL6088SW,OR09,41436.70833,41450.46875,41443.58854,4.823861667,-104.1255823,1.023453467,-13.6186805,0.303209499,1512.8,1.45,1.45,1.45,1.45,-1.331,0.613,0.345,-0.124333333,1.376,-0.131,1.154,0.799666667
TL7369SW,OR09,41477.6875,41487.75,41482.71875,-0.2807444,-60.6082964,0.993950703,-7.540944,0.257375212,345.2,0.76,-0.23,0.76,0.43,-0.339,0.423,-0.215,-0.043666667,-1.062,-0.797,0.024,-0.611666667
TL9227SW,OR09,41506.29167,41535.3125,41520.80208,11.72937213,-64.72263693,1.239035512,-9.556501133,0.236615722,790.6,-0.23,0.41,0.41,0.196666667,-0.219,0.299,0.276,0.118666667,0.505,-0.818,0.513,0.066666667
TM0748SW,OR09,41541.35417,41578.42708,41559.89063,9.454765133,-97.592025,1.102282178,-13.38084877,0.235025531,1994.4,0.41,-0.34,-0.34,-0.09,0.225,-0.067,-0.038,0.04,-2.188,2.667,-1.484,-0.335
TM4124SW,OR09,41663.58333,41668.61111,41666.09722,8.568582667,-80.9748608,1.305965543,-11.19293043,0.209864242,414.1,1.19,1.19,1.19,1.19,0.822,0.49,0.25,0.520666667,0.276,-1.304,-2.605,-1.211
TM4693SW,OR09,41674.58333,41681.64583,41678.11458,14.1231004,-104.0590249,1.006932967,-14.77276567,0.225239872,762.6,-0.32,-0.32,-0.32,-0.32,-1.06,-0.786,-0.826,-0.890666667,-0.148,1.283,0.608,0.581
TM4921SW,OR09,41681.64583,41688.625,41685.13542,9.590585533,-101.7558817,0.828356204,-13.9183084,0.24413316,1231.6,-0.32,-0.32,-0.32,-0.32,-0.786,-0.098,-0.415,-0.433,1.283,-0.264,-0.625,0.131333333
TM5346SW,OR09,41688.625,41698.58333,41693.60417,13.57068597,-118.1066026,0.937219825,-16.45966107,0.321829147,523.1,-0.32,-0.32,-0.32,-0.32,-0.098,-0.396,0.525,0.010333333,-0.264,-1.746,0.456,-0.518
TM5476SW,OR09,41698.58333,41702.66667,41700.625,11.67230947,-87.14122707,1.026994645,-12.35169207,0.213450228,465.4,-0.32,-1.7,-1.7,-1.24,-0.396,-0.209,-0.712,-0.439,-1.746,-0.028,-1.103,-0.959
TM5762SW,OR09,41702.66667,41709.60417,41706.13542,13.14680557,-156.1155678,0.975912906,-21.15779667,0.321970496,980.2,-1.7,-1.7,-1.7,-1.7,-0.209,0.486,0.82,0.365666667,-0.028,0.951,1.489,0.804
TM6519SW,OR09,41723.60417,41731.33333,41727.46875,15.55990767,-120.3150139,1.118835555,-16.9843652,0.194180329,1450.4,-1.7,0.81,-1.7,-0.863333333,-0.408,-0.671,-0.822,-0.633666667,1.025,0.129,-0.339,0.271666667
TM7528SW,OR09,41751.375,41758.39583,41754.88542,12.914478,-91.5871028,0.983573586,-13.0626976,0.175117104,416.5,0.81,0.81,0.81,0.81,0.788,1.071,0.543,0.800666667,0.264,-1.369,-1.208,-0.771
TM7815SW,OR09,41758.39583,41765.39583,41761.89583,11.9240446,-85.15033407,1.1617461,-12.13429733,0.25415153,319.7,0.81,0.72,0.72,0.75,1.071,-0.381,0.353,0.347666667,-1.369,0.77,-0.45,-0.349666667
TM8080SW,OR09,41765.39583,41772.34722,41768.87153,3.413320667,-60.1741108,1.480796407,-7.948428933,0.228650388,203.7,0.72,0.72,0.72,0.72,-0.381,-0.02,-0.502,-0.301,0.77,0.82,1.733,1.107666667
TM8848SW,OR09,41779.66667,41793.41667,41786.54167,8.506910733,-76.97490153,1.024668727,-10.68522653,0.224512806,1157.3,0.72,-0.46,0.72,0.326666667,0.106,-1.673,-1.344,-0.970333333,-0.165,-0.156,-0.91,-0.410333333
TM9916SW,OR09,41814.55208,41821.375,41817.96354,7.723248233,-109.4088787,1.016795948,-14.64151587,0.295574018,379.8,-0.46,-0.26,-0.46,-0.393333333,1.59,0.541,0.055,0.728666667,-0.442,-0.596,-0.555,-0.531
TN0515SW,OR09,41828.35417,41835.41667,41831.88542,8.0801002,-52.44986247,0.948998419,-7.566245333,0.25305533,1141.4,-0.26,-0.26,-0.26,-0.26,0.953,-0.099,0.251,0.368333333,-1.538,0.045,-0.444,-0.645666667
TN3456SW,OR09,41906.70833,41912.70833,41909.70833,18.0615307,-83.78325223,4.48235,-12.73059787,3.083348,631.7,-0.66,-0.66,-0.66,-0.66,-0.309,-0.532,1.559,0.239333333,1.422,1.418,1.758,1.532666667
TN5410SW,OR09,41961.41667,41968.42917,41964.92292,3.354923633,-77.0958577,1.233432203,-10.05634767,0.2314649,505.9,-0.96,-0.96,-0.96,-0.96,0.917,-0.278,0.79,0.476333333,-1.649,1.012,-0.952,-0.529666667
TN6274SW,OR09,41982.41667,41989.58333,41986,3.0988267,-153.9029933,0.975238432,-19.6252275,0.236209653,1139.4,-0.66,-0.66,-0.66,-0.66,1.309,0.865,0.488,0.887333333,0.224,1.33,1.318,0.957333333
TN6434SW,OR09,41989.58333,41996.47917,41993.03125,-4.885127567,-72.4383609,0.893788566,-8.444154167,0.226792857,734.3,-0.66,-0.66,-0.66,-0.66,0.865,0.435,0.778,0.692666667,1.33,0.565,1.047,0.980666667
TN8214SW,OR09,42031,42038,42034.5,6.991527967,-90.0935987,1.011646677,-12.13564083,0.286415782,438.4,-0.87,-0.04,-0.87,-0.593333333,-0.064,0.171,-0.908,-0.267,2.188,-0.796,0.17,0.520666667
TN8477SW,OR09,42038,42045,42041.5,1.885426667,-81.878364,1.013487543,-10.47047383,0.316197723,1111,-0.04,-0.04,-0.04,-0.04,0.171,0.577,0.304,0.350666667,-0.796,1.441,-0.762,-0.039
TN9715SW,OR09,42066,42073,42069.5,0.417730567,-112.6673921,1.291981811,-14.13564033,0.289665324,957.4,-1.4,-1.4,-1.4,-1.4,-1.964,-0.437,-1.245,-1.215333333,2.176,3.85,4.187,3.404333333
TN9996SW,OR09,42080,42087,42083.5,-5.362881867,-84.0785312,1.370095982,-9.839456167,0.246491379,551.2,-1.4,-1.4,-1.4,-1.4,0.471,0.342,0.214,0.342333333,-1.23,1.435,-0.875,-0.223333333
NY7346SW,OR97,37986.50417,37994.53819,37990.52118,19.3053898,-95.8731078,1.086179083,-14.3973122,0.392770926,2214.4,0.92,-1.31,-1.31,-0.566666667,-0.748,0.154,-1.432,-0.675333333,-0.046,-1.327,0.007,-0.455333333
NY7415SW,OR97,37994.53889,37999.51319,37997.02604,4.806233867,-85.44803253,0.800950061,-11.2817833,0.292658504,390.4,-1.31,-1.31,-1.31,-1.31,0.154,0.054,0.721,0.309666667,-1.327,-0.958,-0.205,-0.83
NY7844SW,OR97,37999.51389,38006.47917,38002.99653,6.827159933,-57.377851,0.880101131,-8.025626367,0.46241756,1330.4,-1.31,-1.31,-1.31,-1.31,0.054,0.672,0.364,0.363333333,-0.958,-2.783,-3.855,-2.532
NY8038SW,OR97,38007.47986,38013.49861,38010.48924,10.597642,-65.03130893,1.425224895,-9.453618867,0.334169119,1940.5,-1.31,-1.31,-1.31,-1.31,0.59,0.127,0.312,0.343,-1.191,-3.012,-0.776,-1.659666667
NY8199SW,OR97,38013.52292,38020.47083,38016.99687,6.6018196,-61.3336756,0.838859941,-8.4919369,0.262779375,3622.3,-1.31,0.77,-1.31,-0.616666667,0.127,0.031,0.402,0.186666667,-3.012,-0.577,-2.557,-2.048666667
NY8589SW,OR97,38020.48958,38027.52361,38024.0066,10.29246453,-45.9598808,4.48235,-7.031543167,3.083348,1106.8,0.77,0.77,0.77,0.77,0.031,1.403,0.789,0.741,-0.577,0.127,-0.337,-0.262333333
NY8787SW,OR97,38027.55208,38034.48194,38031.01701,7.007219067,-94.06705507,0.925762929,-12.63428427,0.301577519,1106.8,0.77,0.77,0.77,0.77,1.403,1.277,1.416,1.365333333,0.127,-1.466,-1.838,-1.059
NY9116SW,OR97,38034.48264,38041.51042,38037.99653,10.37564893,-65.7824108,0.702864852,-9.519757467,0.344675209,1419.9,0.77,0.77,0.77,0.77,1.277,0.334,1.12,0.910333333,-1.466,-2.818,-2.137,-2.140333333
NY9367SW,OR97,38041.51111,38048.52083,38045.01597,6.511375,-92.54266553,1.015226576,-12.38175507,0.229960866,2011.4,0.77,-0.11,0.77,0.476666667,0.334,-0.341,0.054,0.015666667,-2.818,-0.908,-3.043,-2.256333333
NY9673SW,OR97,38048.54653,38055.48958,38052.01806,5.509762533,-48.46848387,1.138220541,-6.7472808,0.346091028,496.1,-0.11,-0.11,-0.11,-0.11,-0.341,1.213,-0.011,0.287,-0.908,0.148,0.737,-0.007666667
NZ0294SW,OR97,38069.51528,38076.52431,38073.01979,5.343511533,-61.84909353,0.975486545,-8.399075633,0.351102549,1488.3,-0.11,-0.11,-0.11,-0.11,-0.598,1.517,0.585,0.501333333,-1.603,-0.831,0.276,-0.719333333
NZ1270SW,OR97,38090.53194,38097.45556,38093.99375,9.315531733,-58.67073653,1.206405404,-8.498283533,0.277802088,2635.5,-1.91,-1.91,-1.91,-1.91,0.21,-0.693,-0.189,-0.224,0.429,-1.255,0.657,-0.056333333
NZ1539SW,OR97,38097.45625,38104.51806,38100.98715,8.847953667,-52.4603202,1.232512069,-7.663534233,0.423467826,945.9,-1.91,-1.91,-1.91,-1.91,-0.693,-0.034,-0.247,-0.324666667,-1.255,0.062,-0.244,-0.479
NZ2028SW,OR97,38111.5,38118.52917,38115.01458,6.702605067,-24.1097616,1.093560698,-3.851545833,0.40251708,1024.9,1.22,1.22,1.22,1.22,-0.18,-1.43,-1.328,-0.979333333,0.542,-0.323,-1.193,-0.324666667
NZ2557SW,OR97,38118.52986,38125.48889,38122.00938,4.9871372,-57.02127053,1.288358258,-7.751050967,0.326007669,452.8,1.22,1.22,1.22,1.22,-1.43,0.406,-0.465,-0.496333333,-0.323,0.976,0.304,0.319
NZ2551SW,OR97,38125.48958,38132.49583,38128.99271,4.871577133,-51.35939007,1.12313935,-7.0288709,0.358136845,238.8,1.22,1.22,1.22,1.22,0.406,-1.058,0.085,-0.189,0.976,-0.338,0.343,0.327
NZ2908SW,OR97,38132.51875,38139.50972,38136.01424,-3.192979533,-32.51689367,0.976165969,-3.665489267,0.259757579,261.8,1.22,-1.91,1.22,0.176666667,-1.058,-0.787,-2.368,-1.404333333,-0.338,-0.969,-0.313,-0.54
NZ3091SW,OR97,38139.51042,38146.49097,38143.00069,7.671215533,-63.98407487,1.268631152,-8.9569113,0.365195838,2181.2,-1.91,-1.91,-1.91,-1.91,-0.787,-0.641,-0.07,-0.499333333,-0.969,0.795,-0.091,-0.088333333
