SampleName,site,In,Out,middate,dxs,dD,unc,dO,unc,amount [mL],SOI in (monthly),SOI out (monthly),SOI middate (monthly),SOI average (monthly),PNA in (daily),PNA out (daily),PNA middate (daily),PNA average (daily),AO in (daily),AO out (daily),AO middate (daily),AO average (daily)
TB4923SW,CA42,38713,38720,38716.5,17.49877453,-28.97841933,0.96897936,-5.809649233,0.316015822,6563.7,0.01,1.29,0.01,0.436666667,1.274,0.039,1.013,0.775333333,-2.899,-0.824,-2.182,-1.968333333
TB6915SW,CA42,38762,38770,38766,28.1893386,-42.7043558,4.48235,-8.8617118,3.083348,1317.2,-0.12,-0.12,-0.12,-0.12,0.647,-1.442,-0.771,-0.522,0.884,1.684,0.965,1.177666667
TB7125SW,CA42,38770,38776,38773,11.66089527,-86.25475967,0.940693893,-12.23945687,0.241325506,8111.9,-0.12,-0.12,-0.12,-0.12,-1.442,-1.721,-1.891,-1.684666667,1.684,-2.029,-0.685,-0.343333333
TB7199SW,CA42,38776,38782,38779,25.46587747,-27.45949587,1.156662008,-6.615671667,0.275021817,1205.5,-0.12,1.32,1.32,0.84,-1.721,0.05,-0.693,-0.788,-2.029,0.059,-1.667,-1.212333333
TB7835SW,CA42,38782,38790,38786,24.80723313,-39.34433247,1.088723105,-8.0189457,0.166838245,2385.9,1.32,1.32,1.32,1.32,0.05,-0.677,-0.857,-0.494666667,0.059,-2.013,0.111,-0.614333333
TB7833SW,CA42,38790,38797,38793.5,20.06361227,-47.33475733,1.244656579,-8.4247962,0.271110679,4933.2,1.32,1.32,1.32,1.32,-0.677,-0.107,-0.37,-0.384666667,-2.013,-3.822,-2.825,-2.886666667
TB8200SW,CA42,38797,38805,38801,17.39854187,-48.99772773,1.160788094,-8.2995337,0.282329595,4633.3,1.32,1.32,1.32,1.32,-0.107,-0.052,0.39,0.077,-3.822,-1.204,-1.955,-2.327
TB8674SW,CA42,38805,38811,38808,14.52100387,-40.19478813,0.940358974,-6.839474,0.227521428,1813.4,1.32,1.17,1.17,1.22,-0.052,0.05,0.083,0.027,-1.204,-1.635,-1.276,-1.371666667
TB8649SW,CA42,38811,38818,38814.5,20.0343128,-50.05235707,1.104366787,-8.760833733,0.340395358,6879.2,1.17,1.17,1.17,1.17,0.05,-0.087,0.699,0.220666667,-1.635,1.338,-2.378,-0.891666667
TB9027SW,CA42,38818,38825,38821.5,18.335542,-57.8572572,1.286329274,-9.5240999,0.39733613,3064.1,1.17,1.17,1.17,1.17,-0.087,0.319,-0.529,-0.099,1.338,0.319,2.121,1.259333333
TB9287SW,CA42,38825,38833,38829,18.0000394,-24.2496286,0.942871147,-5.2812085,0.310977491,440.6,1.17,1.17,1.17,1.17,0.319,-0.12,0.76,0.319666667,0.319,-0.063,1.187,0.481
TC0305SW,CA42,38854,38860,38857,15.81657653,-66.38882267,0.855547193,-10.2756749,0.437840153,1393.4,-0.96,-0.96,-0.96,-0.96,0.536,-0.877,-0.988,-0.443,0.13,0.662,0.833,0.541666667
TC2638SW,CA42,38916,38924,38920,-12.7354296,-7.338582933,1.19536187,0.674605833,0.308209344,180.4,-0.9,-0.9,-0.9,-0.9,0.156,0.145,-0.51,-0.069666667,-0.269,-0.173,0.073,-0.123
TC5928SW,CA42,39000,39007,39003.5,19.02171453,-19.1767972,0.83712723,-4.774813967,0.299347624,235.4,-1.52,-1.52,-1.52,-1.52,0.48,-0.565,-0.121,-0.068666667,-1.523,-3.192,-0.713,-1.809333333
TC7546SW,CA42,39042,39049,39045.5,19.66677667,-21.30020333,1.343361083,-5.1208725,0.390728806,172.1,0.05,0.05,0.05,0.05,-0.556,-0.59,-0.979,-0.708333333,0.487,0.684,-0.939,0.077333333
TC8514SW,CA42,39056,39064,39060,20.1394062,-46.85277887,1.196597677,-8.374023133,0.329451059,991,-0.39,-0.39,-0.39,-0.39,1.058,0.67,1.422,1.05,1.284,3.497,1.972,2.251
TC8775SW,CA42,39064,39070,39067,26.31686433,-17.03377753,1.886905668,-5.418830233,0.269252669,1102.6,-0.39,-0.39,-0.39,-0.39,0.67,1.411,0.462,0.847666667,3.497,2.056,2.532,2.695
TC8749SW,CA42,39077.72222,39085.73958,39081.7309,9.5522416,-34.06080267,0.782737504,-5.451630533,0.227607118,147.4999,-0.39,-0.83,-0.39,-0.536666667,0.964,0.559,0.948,0.823666667,1.228,3.826,3.64,2.898
TC8912SW,CA42,39085.73958,39091.54167,39088.64063,18.36752103,-26.2324107,0.823563598,-5.574991467,0.265593675,473.3,-0.83,-0.83,-0.83,-0.83,0.559,0.01,-0.439,0.043333333,3.826,2.605,3.975,3.468666667
TC9328SW,CA42,39091.54514,39098.92708,39095.23611,29.50810837,-14.64006017,1.186373044,-5.518521067,0.238851418,178.1,-0.83,-0.83,-0.83,-0.83,0.01,0.308,-0.114,0.068,2.605,1.686,2.762,2.351
