date,pna,ao,soi,dxs,unc,unc.1,amount [mL],dO,dD
2009-09-09,0.955,0.272,1.99,10.49022639,0.791109563,932.2942857,0.28462252600000004,-40.38906102,-6.3599109270000005
2009-09-10,1.2,0.038,-5.84,10.47309916,0.790978565,930.9698214,0.28487867,-40.36581667,-6.354864478
2009-09-11,1.2819999999999998,0.562,-0.24,10.45597193,0.790847567,929.6453571000001,0.28513481399999996,-40.34257231,-6.34981803
2009-09-12,0.887,0.26899999999999996,8.54,10.43884469,0.7907165690000001,928.3208929,0.28539095800000003,-40.31932796,-6.344771582000001
2009-09-13,0.354,-0.574,-9.69,10.42171746,0.7905855709999999,926.9964286000001,0.285647101,-40.29608361,-6.339725133
2009-09-14,0.075,-1.125,-1.2,10.40459023,0.790454573,925.6719642999999,0.285903245,-40.27283925,-6.334678685
2009-09-15,0.534,-1.2790000000000001,19.98,10.387463,0.790323575,924.3475,0.286159389,-40.2495949,-6.329632237
2009-09-16,1.197,-0.527,19.13,10.37033576,0.7901925759999999,923.0230357,0.286415533,-40.22635054,-6.324585787999999
2009-09-17,1.575,0.361,14.98,10.35320853,0.790061578,921.6985714,0.28667167600000004,-40.20310619,-6.31953934
2009-09-18,1.17,0.217,1.44,10.336081300000002,0.78993058,920.3741071000001,0.28692782,-40.17986183,-6.3144928920000005
2009-09-19,0.376,0.335,-0.12,10.31895407,0.789799582,919.0496429,0.28718396399999996,-40.15661748,-6.309446443
2009-09-20,0.183,0.9520000000000001,1.38,10.30182684,0.7896685840000001,917.7251786,0.287440108,-40.13337313,-6.304399995
2009-09-21,0.429,1.2770000000000001,10.77,10.2846996,0.7895375859999999,916.4007142999999,0.287696251,-40.11012877,-6.299353547000001
2009-09-22,0.423,1.724,13.42,10.26757237,0.789406588,915.07625,0.287952395,-40.08688442,-6.294307097999999
2009-09-23,0.49,1.9669999999999999,10.41,10.25044514,0.78927559,913.7517857,0.288208539,-40.06364006,-6.28926065
2009-09-24,0.642,2.113,-1.38,10.23331791,0.789144592,912.4273214,0.288464683,-40.04039571,-6.284214202
2009-09-25,0.76,2.614,-8.42,10.21619067,0.789013594,911.1028571,0.28872082600000004,-40.01715135,-6.279167752999999
2009-09-26,1.09,3.094,-14.62,10.19906344,0.788882596,909.7783929,0.28897697,-39.993907,-6.274121305
2009-09-27,1.9280000000000002,2.695,-11.37,10.18193621,0.7887515979999999,908.4539286,0.28923311399999996,-39.97066264,-6.2690748570000006
2009-09-28,1.9269999999999998,1.5859999999999999,-2.83,10.16480898,0.7886206,907.1294642999999,0.289489258,-39.94741829,-6.264028408
2009-09-29,1.9980000000000002,0.33,4.99,10.14768175,0.7884896020000001,905.805,0.289745401,-39.92417394,-6.25898196
2009-09-30,1.714,-0.37,4.81,10.13055451,0.788358604,904.4805357000001,0.290001545,-39.90092958,-6.253935512000001
2009-10-01,0.053,-0.409,-3.12,10.11342728,0.788227606,903.1560714,0.290257689,-39.87768523,-6.248889062999999
2009-10-02,-0.45899999999999996,-0.34600000000000003,1.1,10.09630005,0.7880966079999999,901.8316071,0.29051383199999997,-39.85444087,-6.243842615
2009-10-03,-0.601,-0.254,8.13,10.07917282,0.78796561,900.5071429,0.29076997600000004,-39.83119652,-6.238796167
2009-10-04,-1.127,-0.21600000000000003,0.92,10.06204558,0.787834612,899.1826786,0.29102612,-39.80795216,-6.233749717999999
2009-10-05,-1.55,-0.35700000000000004,-1.71,10.04491835,0.7877036140000001,897.8582142999999,0.29128226399999996,-39.78470781,-6.22870327
2009-10-06,-1.36,-0.659,2.63,10.02779112,0.787572616,896.53375,0.291538407,-39.76146345,-6.223656822000001
2009-10-07,-0.753,-1.285,-5.26,10.01066389,0.787441618,895.2092857000001,0.291794551,-39.7382191,-6.218610373
2009-10-08,-0.193,-2.05,-7.64,9.993536655,0.78731062,893.8848214,0.292050695,-39.71497475,-6.213563925
2009-10-09,0.098,-2.4730000000000003,-12.35,9.976409423,0.787179622,892.5603571,0.292306839,-39.69173039,-6.208517477000001
2009-10-10,0.46,-2.574,-15.71,9.959282191,0.7870486240000001,891.2358929,0.29256298199999997,-39.66848604,-6.203471027999999
2009-10-11,0.609,-2.6660000000000004,-18.34,9.942154958,0.7869176259999999,889.9114286,0.29281912600000004,-39.64524168,-6.19842458
2009-10-12,0.303,-1.975,-12.84,9.925027726,0.786786628,888.5869643,0.29307527,-39.62199733,-6.193378132
2009-10-13,0.201,-1.024,-1.83,9.907900494,0.78665563,887.2625,0.293331414,-39.59875297,-6.1883316829999995
2009-10-14,0.461,-0.591,-2.57,9.890773261,0.7865246309999999,885.9380357000001,0.293587557,-39.57550862,-6.183285235
2009-10-15,0.8079999999999999,-0.768,-10.76,9.873646029,0.786393633,884.6135714,0.293843701,-39.55226426,-6.178238787000001
2009-10-16,1.026,-0.8029999999999999,-29.03,9.856518797,0.786262635,883.2891071,0.294099845,-39.52901991,-6.173192338
2009-10-17,1.042,-0.517,-38.33,9.839391565,0.786131637,881.9646429,0.294355989,-39.50577556,-6.16814589
2009-10-18,0.778,-0.242,-38.2,9.822264332,0.7860006390000001,880.6401786,0.29461213199999997,-39.482531200000004,-6.163099442
2009-10-19,0.525,-0.843,-30.75,9.8051371,0.7858696409999999,879.3157143,0.29486827600000004,-39.45928685,-6.158052992999999
2009-10-20,0.602,-1.979,-26.53,9.788009868,0.785738643,877.99125,0.29512442,-39.43604249,-6.153006545
2009-10-21,0.674,-2.9219999999999997,-23.53,9.770882636,0.785607645,876.6667857000001,0.295380564,-39.41279814,-6.147960097
2009-10-22,0.9,-3.415,-25.86,9.753755403,0.7854766470000001,875.3423214,0.295636707,-39.38955378,-6.1429136479999995
2009-10-23,0.8240000000000001,-3.2510000000000003,-20.9,9.736628171,0.785345649,874.0178571,0.295892851,-39.36630943,-6.1378672
2009-10-24,0.613,-2.844,-19.13,9.719500939,0.785214651,872.6933928999999,0.296148995,-39.34306508,-6.132820752000001
2009-10-25,0.439,-2.475,-26.71,9.702373707000001,0.7850836529999999,871.3689286,0.296405139,-39.31982072,-6.127774303
2009-10-26,0.107,-1.8119999999999998,-17.54,9.685246474,0.784952655,870.0444643,0.29666128199999997,-39.29657637,-6.122727855
2009-10-27,-0.726,-1.6780000000000002,-23.9,9.668119242000001,0.7848216570000001,868.72,0.29691742600000004,-39.27333201,-6.117681407
2009-10-28,-0.767,-2.101,-20.9,9.65099201,0.784690659,867.3955357000001,0.29717357,-39.25008766,-6.112634957999999
2009-10-29,-0.242,-2.412,-8.68,9.633864777000001,0.784559661,866.0710713999999,0.297429713,-39.2268433,-6.10758851
2009-10-30,-0.024,-1.479,-9.78,9.616737545,0.7844286629999999,864.7466071,0.297685857,-39.20359895,-6.102542062
2009-10-31,-0.07200000000000001,0.379,-13.33,9.599610313,0.784297665,863.4221428999999,0.297942001,-39.18035459,-6.0974956129999995
2009-11-01,-0.071,1.896,-15.63,9.582483081,0.784166667,862.0976786,0.298198145,-39.15711024,-6.092449165
2009-11-02,-0.092,2.6889999999999996,-14.51,9.565355848,0.7840356690000001,860.7732143,0.298454288,-39.13386589,-6.087402717000001
2009-11-03,0.16699999999999998,1.33,-4.82,9.548228616,0.7839046709999999,859.44875,0.29871043199999997,-39.11062153,-6.082356268
2009-11-04,0.41200000000000003,-0.69,-6.46,9.531101384,0.783773673,858.1242857000001,0.29896657600000004,-39.08737718,-6.07730982
2009-11-05,0.491,-0.8440000000000001,11.21,9.513974152000001,0.783642675,856.7998213999999,0.29922272,-39.06413282,-6.072263372
2009-11-06,0.162,-0.187,16.62,9.496846919,0.783511677,855.4753571,0.299478863,-39.04088847,-6.067216922999999
2009-11-07,-0.33,-0.479,8.51,9.479719687000001,0.7833806790000001,854.1508928999999,0.299735007,-39.01764411,-6.062170475
2009-11-08,-0.61,-0.332,-3.17,9.462592455,0.7832496809999999,852.8264286,0.299991151,-38.99439976,-6.057124027
2009-11-09,-0.835,0.256,-4.29,9.445465223,0.783118683,851.5019642999999,0.300247295,-38.9711554,-6.052077578
2009-11-10,-0.8390000000000001,0.177,6.86,9.42833799,0.782987685,850.1775,0.300503438,-38.94791105,-6.04703113
2009-11-11,-0.573,-0.158,0.73,9.411210758,0.7828566859999999,848.8530357000001,0.30075958199999997,-38.9246667,-6.041984682000001
2009-11-12,-0.521,0.031,-14.05,9.394083526000001,0.782725688,847.5285713999999,0.30101572600000004,-38.90142234,-6.036938233
2009-11-13,-0.5820000000000001,-0.24100000000000002,-14.45,9.376956293,0.78259469,846.2041071000001,0.30127187,-38.87817799,-6.031891785
2009-11-14,-0.48,-0.057,-14.64,9.359829061000001,0.782463692,844.8796428999999,0.301528013,-38.85493363,-6.026845337
2009-11-15,-0.535,0.63,-8.31,9.342701829,0.782332694,843.5551786,0.301784157,-38.83168928,-6.021798887999999
2009-11-16,-0.569,0.774,-4.49,9.325574597000001,0.7822016959999999,842.2307142999999,0.302040301,-38.80844492,-6.01675244
2009-11-17,-0.377,1.11,-16.82,9.308447364,0.782070698,840.90625,0.302296445,-38.78520057,-6.011705992
2009-11-18,-0.307,1.557,-18.4,9.291320132000001,0.7819397,839.5817857000001,0.302552588,-38.76195621,-6.006659543
2009-11-19,-0.055,1.1179999999999999,-28.69,9.274192900000001,0.7818087020000001,838.2573214,0.30280873199999997,-38.73871186,-6.001613095
2009-11-20,0.295,0.738,-24.41,9.257065668,0.781677704,836.9328571000001,0.30306487600000004,-38.71546751,-5.996566647000001
2009-11-21,0.568,0.562,-6.79,9.239938435,0.781546706,835.6083928999999,0.30332102,-38.69222315,-5.991520198
2009-11-22,0.6920000000000001,0.594,-15.11,9.222811203,0.7814157079999999,834.2839286000001,0.303577163,-38.66897879999999,-5.98647375
2009-11-23,0.8,0.615,-19.0,9.205683971000001,0.78128471,832.9594642999999,0.303833307,-38.64573444,-5.981427302
